constraint_id,mine_id,equipment_id,week_start,constraint_type,capacity_value,unit,update_date,remarks
C00029-1,MINE_1,EQ038-1,2019-08-08,Excavator Capacity,500,ton/day,2019-08-12,Material basah
C00030-1,MINE_1,EQ030-1,2019-08-15,Hauling Capacity,500,ton/day,2019-08-19,Kemacetan hauling
C00031-1,MINE_1,EQ041-1,2019-08-22,Hauling Capacity,500,ton/day,2019-08-24,Kemacetan hauling
C00032-1,MINE_1,EQ050-1,2019-09-01,Hauling Capacity,500,ton/day,2019-09-06,Akses terhambat
C00033-1,MINE_1,EQ005-1,2019-09-08,Excavator Capacity,500,ton/day,2019-09-13,Material basah
C00034-1,MINE_1,EQ037-1,2019-09-15,Excavator Capacity,500,ton/day,2019-09-21,Curah hujan tinggi
C00035-1,MINE_1,EQ041-1,2019-09-22,Excavator Capacity,500,ton/day,2019-09-22,Perbaikan alat
C00036-1,MINE_1,EQ038-1,2019-10-01,Excavator Capacity,500,ton/day,2019-10-03,Perbaikan alat
C00037-1,MINE_1,EQ045-1,2019-10-08,Excavator Capacity,500,ton/day,2019-10-09,Cuaca kurang mendukung
C00038-1,MINE_1,EQ033-1,2019-10-15,Hauling Capacity,500,ton/day,2019-10-15,Jalan rusak
C00039-1,MINE_1,EQ007-1,2019-10-22,Excavator Capacity,500,ton/day,2019-10-25,Material basah
C00040-1,MINE_1,EQ006-1,2019-11-01,Hauling Capacity,500,ton/day,2019-11-01,Kemacetan hauling
C00041-1,MINE_1,EQ015-1,2019-11-08,Hauling Capacity,500,ton/day,2019-11-08,Kemacetan hauling
C00042-1,MINE_1,EQ037-1,2019-11-15,Hauling Capacity,500,ton/day,2019-11-15,Gangguan operasional
C00043-1,MINE_1,EQ041-1,2019-11-22,Hauling Capacity,500,ton/day,2019-11-27,Jalan rusak
C00044-1,MINE_1,EQ050-1,2019-12-01,Hauling Capacity,500,ton/day,2019-12-03,Kemacetan hauling
C00045-1,MINE_1,EQ027-1,2019-12-08,Hauling Capacity,500,ton/day,2019-12-11,Akses terhambat
C00046-1,MINE_1,EQ041-1,2019-12-15,Hauling Capacity,500,ton/day,2019-12-15,Gangguan operasional
C00047-1,MINE_1,EQ015-1,2019-12-22,Hauling Capacity,500,ton/day,2019-12-24,Akses terhambat
C00048-2,MINE_2,EQ042-2,2020-01-01,Excavator Capacity,511,ton/day,2020-01-02,Cuaca kurang mendukung
C00049-1,MINE_1,EQ032-1,2020-01-01,Excavator Capacity,500,ton/day,2020-01-04,Cuaca kurang mendukung
C00050-1,MINE_1,EQ016-1,2020-01-08,Crusher Capacity,500,ton/day,2020-01-10,Maintenance unit
C00051-2,MINE_2,EQ040-2,2020-01-08,Excavator Capacity,1016,ton/day,2020-01-13,Operasi normal
C00052-1,MINE_1,EQ017-1,2020-01-15,Excavator Capacity,500,ton/day,2020-01-15,Material basah
C00053-2,MINE_2,EQ029-2,2020-01-15,Excavator Capacity,500,ton/day,2020-01-20,Curah hujan tinggi
C00054-1,MINE_1,EQ038-1,2020-01-22,Excavator Capacity,500,ton/day,2020-01-22,Kerusakan mekanis
C00055-2,MINE_2,EQ049-2,2020-01-22,Hauling Capacity,500,ton/day,2020-01-25,Kemacetan hauling
C00056-1,MINE_1,EQ030-1,2020-02-01,Excavator Capacity,500,ton/day,2020-02-01,Kerusakan mekanis
C00057-2,MINE_2,EQ048-2,2020-02-01,Hauling Capacity,500,ton/day,2020-02-03,Alur produksi lancar
C00058-2,MINE_2,EQ019-2,2020-02-08,Hauling Capacity,500,ton/day,2020-02-12,Akses terhambat
C00059-1,MINE_1,EQ015-1,2020-02-08,Hauling Capacity,500,ton/day,2020-02-13,Jalan rusak
C00060-2,MINE_2,EQ019-2,2020-02-15,Excavator Capacity,500,ton/day,2020-02-18,Curah hujan tinggi
C00061-1,MINE_1,EQ007-1,2020-02-15,Hauling Capacity,500,ton/day,2020-02-17,Kemacetan hauling
C00062-2,MINE_2,EQ040-2,2020-02-22,Excavator Capacity,500,ton/day,2020-02-24,Cuaca kurang mendukung
C00063-1,MINE_1,EQ017-1,2020-02-22,Excavator Capacity,500,ton/day,2020-02-27,Material basah
C00064-2,MINE_2,EQ040-2,2020-03-01,Crusher Capacity,611,ton/day,2020-03-03,Kondisi lapangan kurang optimal
C00065-1,MINE_1,EQ041-1,2020-03-01,Hauling Capacity,500,ton/day,2020-03-01,Kerusakan mekanis
C00066-2,MINE_2,EQ025-2,2020-03-08,Hauling Capacity,500,ton/day,2020-03-11,Kemacetan hauling
C00067-1,MINE_1,EQ027-1,2020-03-08,Hauling Capacity,500,ton/day,2020-03-11,Akses terhambat
C00068-2,MINE_2,EQ048-2,2020-03-15,Excavator Capacity,500,ton/day,2020-03-17,Perbaikan alat
C00069-1,MINE_1,EQ032-1,2020-03-15,Excavator Capacity,500,ton/day,2020-03-15,Curah hujan tinggi
C00070-2,MINE_2,EQ018-2,2020-03-22,Excavator Capacity,500,ton/day,2020-03-25,Curah hujan tinggi
C00071-1,MINE_1,EQ043-1,2020-03-22,Hauling Capacity,500,ton/day,2020-03-22,Kemacetan hauling
C00072-2,MINE_2,EQ049-2,2020-04-01,Hauling Capacity,500,ton/day,2020-04-02,Akses terhambat
C00073-1,MINE_1,EQ006-1,2020-04-01,Hauling Capacity,500,ton/day,2020-04-02,Perbaikan alat
C00074-2,MINE_2,EQ029-2,2020-04-08,Hauling Capacity,500,ton/day,2020-04-14,Jalan rusak
C00075-1,MINE_1,EQ050-1,2020-04-08,Excavator Capacity,515,ton/day,2020-04-08,Curah hujan tinggi
C00076-2,MINE_2,EQ049-2,2020-04-15,Hauling Capacity,500,ton/day,2020-04-19,Kemacetan hauling
C00077-1,MINE_1,EQ016-1,2020-04-15,Hauling Capacity,500,ton/day,2020-04-15,Jalan rusak
C00078-1,MINE_1,EQ005-1,2020-04-22,Excavator Capacity,500,ton/day,2020-04-22,Cuaca kurang mendukung
C00079-2,MINE_2,EQ024-2,2020-04-22,Excavator Capacity,500,ton/day,2020-04-27,Material basah
C00080-2,MINE_2,EQ042-2,2020-05-01,Crusher Capacity,500,ton/day,2020-05-02,Perbaikan alat
C00081-1,MINE_1,EQ037-1,2020-05-01,Excavator Capacity,500,ton/day,2020-05-01,Cuaca kurang mendukung
C00082-2,MINE_2,EQ049-2,2020-05-08,Hauling Capacity,500,ton/day,2020-05-09,Jalan rusak
C00083-1,MINE_1,EQ050-1,2020-05-08,Excavator Capacity,500,ton/day,2020-05-14,Perbaikan alat
C00084-1,MINE_1,EQ007-1,2020-05-15,Hauling Capacity,500,ton/day,2020-05-19,Akses terhambat
C00085-2,MINE_2,EQ049-2,2020-05-15,Hauling Capacity,500,ton/day,2020-05-18,Kemacetan hauling
C00086-1,MINE_1,EQ047-1,2020-05-22,Hauling Capacity,500,ton/day,2020-05-25,Kerusakan mekanis
C00087-2,MINE_2,EQ024-2,2020-05-22,Hauling Capacity,500,ton/day,2020-05-27,Jalan rusak
C00088-1,MINE_1,EQ007-1,2020-06-01,Hauling Capacity,500,ton/day,2020-06-04,Kemacetan hauling
C00089-2,MINE_2,EQ029-2,2020-06-01,Excavator Capacity,500,ton/day,2020-06-05,Material basah
C00090-2,MINE_2,EQ004-2,2020-06-08,Hauling Capacity,500,ton/day,2020-06-08,Akses terhambat
C00091-1,MINE_1,EQ006-1,2020-06-08,Excavator Capacity,874,ton/day,2020-06-13,Alur produksi lancar
C00092-2,MINE_2,EQ025-2,2020-06-15,Hauling Capacity,500,ton/day,2020-06-19,Akses terhambat
C00093-1,MINE_1,EQ045-1,2020-06-15,Excavator Capacity,500,ton/day,2020-06-19,Cuaca kurang mendukung
C00094-1,MINE_1,EQ045-1,2020-06-22,Excavator Capacity,500,ton/day,2020-06-24,Material basah
C00095-2,MINE_2,EQ004-2,2020-06-22,Excavator Capacity,500,ton/day,2020-06-28,Maintenance unit
C00096-2,MINE_2,EQ025-2,2020-07-01,Hauling Capacity,500,ton/day,2020-07-04,Akses terhambat
C00097-1,MINE_1,EQ045-1,2020-07-01,Hauling Capacity,500,ton/day,2020-07-07,Akses terhambat
C00098-2,MINE_2,EQ049-2,2020-07-08,Hauling Capacity,500,ton/day,2020-07-14,Akses terhambat
C00099-1,MINE_1,EQ011-1,2020-07-08,Hauling Capacity,500,ton/day,2020-07-11,Jalan rusak
C00100-1,MINE_1,EQ047-1,2020-07-15,Hauling Capacity,500,ton/day,2020-07-15,Jalan rusak
C00101-2,MINE_2,EQ019-2,2020-07-15,Excavator Capacity,500,ton/day,2020-07-16,Cuaca kurang mendukung
C00102-2,MINE_2,EQ048-2,2020-07-22,Hauling Capacity,500,ton/day,2020-07-25,Kemacetan hauling
C00103-1,MINE_1,EQ047-1,2020-07-22,Excavator Capacity,500,ton/day,2020-07-22,Curah hujan tinggi
C00104-1,MINE_1,EQ047-1,2020-08-01,Crusher Capacity,500,ton/day,2020-08-01,Kerusakan mekanis
C00105-2,MINE_2,EQ025-2,2020-08-01,Hauling Capacity,500,ton/day,2020-08-05,Gangguan operasional
C00106-2,MINE_2,EQ028-2,2020-08-08,Hauling Capacity,500,ton/day,2020-08-10,Akses terhambat
C00107-1,MINE_1,EQ015-1,2020-08-08,Excavator Capacity,500,ton/day,2020-08-12,Material basah
C00108-2,MINE_2,EQ001-2,2020-08-15,Hauling Capacity,500,ton/day,2020-08-15,Kerusakan mekanis
C00109-1,MINE_1,EQ014-1,2020-08-15,Excavator Capacity,500,ton/day,2020-08-19,Material basah
C00110-2,MINE_2,EQ040-2,2020-08-22,Excavator Capacity,500,ton/day,2020-08-25,Maintenance unit
C00111-1,MINE_1,EQ037-1,2020-08-22,Hauling Capacity,500,ton/day,2020-08-22,Kemacetan hauling
C00112-2,MINE_2,EQ004-2,2020-09-01,Excavator Capacity,500,ton/day,2020-09-07,Curah hujan tinggi
C00113-1,MINE_1,EQ030-1,2020-09-01,Excavator Capacity,500,ton/day,2020-09-04,Curah hujan tinggi
C00114-1,MINE_1,EQ020-1,2020-09-08,Excavator Capacity,500,ton/day,2020-09-10,Curah hujan tinggi
C00115-2,MINE_2,EQ019-2,2020-09-08,Hauling Capacity,500,ton/day,2020-09-11,Jalan rusak
C00116-1,MINE_1,EQ015-1,2020-09-15,Hauling Capacity,500,ton/day,2020-09-15,Kerusakan mekanis
C00117-2,MINE_2,EQ019-2,2020-09-15,Hauling Capacity,500,ton/day,2020-09-18,Kemacetan hauling
C00118-2,MINE_2,EQ018-2,2020-09-22,Hauling Capacity,500,ton/day,2020-09-24,Alur produksi lancar
C00119-1,MINE_1,EQ047-1,2020-09-22,Excavator Capacity,500,ton/day,2020-09-24,Curah hujan tinggi
C00120-2,MINE_2,EQ001-2,2020-10-01,Excavator Capacity,500,ton/day,2020-10-04,Curah hujan tinggi
C00121-1,MINE_1,EQ016-1,2020-10-01,Excavator Capacity,500,ton/day,2020-10-02,Maintenance unit
C00122-1,MINE_1,EQ030-1,2020-10-08,Hauling Capacity,500,ton/day,2020-10-10,Gangguan operasional
C00123-2,MINE_2,EQ004-2,2020-10-08,Crusher Capacity,500,ton/day,2020-10-11,Kerusakan mekanis
C00124-2,MINE_2,EQ049-2,2020-10-15,Excavator Capacity,500,ton/day,2020-10-19,Curah hujan tinggi
C00125-1,MINE_1,EQ038-1,2020-10-15,Hauling Capacity,500,ton/day,2020-10-15,Perbaikan alat
C00126-2,MINE_2,EQ048-2,2020-10-22,Hauling Capacity,500,ton/day,2020-10-26,Maintenance unit
C00127-1,MINE_1,EQ023-1,2020-10-22,Hauling Capacity,500,ton/day,2020-10-22,Akses terhambat
C00128-2,MINE_2,EQ024-2,2020-11-01,Excavator Capacity,500,ton/day,2020-11-05,Maintenance unit
C00129-1,MINE_1,EQ015-1,2020-11-01,Hauling Capacity,500,ton/day,2020-11-05,Kerusakan mekanis
C00130-1,MINE_1,EQ007-1,2020-11-08,Hauling Capacity,571,ton/day,2020-11-09,Jalan rusak
C00131-2,MINE_2,EQ019-2,2020-11-08,Hauling Capacity,500,ton/day,2020-11-12,Akses terhambat
C00132-1,MINE_1,EQ023-1,2020-11-15,Excavator Capacity,500,ton/day,2020-11-21,Curah hujan tinggi
C00133-2,MINE_2,EQ024-2,2020-11-15,Excavator Capacity,500,ton/day,2020-11-18,Curah hujan tinggi
C00134-1,MINE_1,EQ041-1,2020-11-22,Crusher Capacity,500,ton/day,2020-11-22,Gangguan operasional
C00135-2,MINE_2,EQ042-2,2020-11-22,Hauling Capacity,518,ton/day,2020-11-26,Akses terhambat
C00136-1,MINE_1,EQ038-1,2020-12-01,Hauling Capacity,500,ton/day,2020-12-05,Jalan rusak
C00137-2,MINE_2,EQ029-2,2020-12-01,Excavator Capacity,500,ton/day,2020-12-04,Kondisi lapangan kurang optimal
C00138-1,MINE_1,EQ005-1,2020-12-08,Hauling Capacity,500,ton/day,2020-12-13,Akses terhambat
C00139-2,MINE_2,EQ019-2,2020-12-08,Hauling Capacity,500,ton/day,2020-12-13,Jalan rusak
C00140-2,MINE_2,EQ049-2,2020-12-15,Hauling Capacity,500,ton/day,2020-12-18,Kemacetan hauling
C00141-1,MINE_1,EQ043-1,2020-12-15,Hauling Capacity,500,ton/day,2020-12-16,Gangguan operasional
C00142-1,MINE_1,EQ033-1,2020-12-22,Hauling Capacity,500,ton/day,2020-12-25,Jalan rusak
C00143-2,MINE_2,EQ001-2,2020-12-22,Excavator Capacity,500,ton/day,2020-12-25,Curah hujan tinggi
C00144-2,MINE_2,EQ001-2,2021-01-01,Hauling Capacity,500,ton/day,2021-01-01,Gangguan operasional
C00145-3,MINE_3,EQ046-3,2021-01-01,Excavator Capacity,500,ton/day,2021-01-05,Curah hujan tinggi
C00146-1,MINE_1,EQ017-1,2021-01-01,Excavator Capacity,500,ton/day,2021-01-05,Kerusakan mekanis
C00147-3,MINE_3,EQ039-3,2021-01-08,Excavator Capacity,500,ton/day,2021-01-09,Material basah
C00148-2,MINE_2,EQ048-2,2021-01-08,Excavator Capacity,500,ton/day,2021-01-13,Curah hujan tinggi
C00149-1,MINE_1,EQ027-1,2021-01-08,Crusher Capacity,500,ton/day,2021-01-09,Maintenance unit
C00150-1,MINE_1,EQ005-1,2021-01-15,Hauling Capacity,663,ton/day,2021-01-15,Kemacetan hauling
C00151-3,MINE_3,EQ021-3,2021-01-15,Hauling Capacity,500,ton/day,2021-01-15,Kerusakan mekanis
C00152-2,MINE_2,EQ025-2,2021-01-15,Hauling Capacity,500,ton/day,2021-01-19,Akses terhambat
C00153-3,MINE_3,EQ021-3,2021-01-22,Hauling Capacity,500,ton/day,2021-01-26,Kondisi lapangan kurang optimal
C00154-2,MINE_2,EQ018-2,2021-01-22,Excavator Capacity,500,ton/day,2021-01-22,Cuaca kurang mendukung
C00155-1,MINE_1,EQ047-1,2021-01-22,Hauling Capacity,500,ton/day,2021-01-24,Akses terhambat
C00156-2,MINE_2,EQ001-2,2021-02-01,Hauling Capacity,500,ton/day,2021-02-01,Akses terhambat
C00157-1,MINE_1,EQ037-1,2021-02-01,Hauling Capacity,500,ton/day,2021-02-02,Kerusakan mekanis
C00158-3,MINE_3,EQ021-3,2021-02-01,Excavator Capacity,500,ton/day,2021-02-03,Cuaca kurang mendukung
C00159-3,MINE_3,EQ039-3,2021-02-08,Hauling Capacity,500,ton/day,2021-02-13,Akses terhambat
C00160-2,MINE_2,EQ048-2,2021-02-08,Excavator Capacity,500,ton/day,2021-02-14,Kerusakan mekanis
C00161-1,MINE_1,EQ017-1,2021-02-08,Excavator Capacity,500,ton/day,2021-02-09,Material basah
C00162-1,MINE_1,EQ022-1,2021-02-15,Crusher Capacity,500,ton/day,2021-02-20,Perbaikan alat
C00163-3,MINE_3,EQ039-3,2021-02-15,Excavator Capacity,500,ton/day,2021-02-17,Cuaca kurang mendukung
C00164-2,MINE_2,EQ040-2,2021-02-15,Hauling Capacity,500,ton/day,2021-02-20,Akses terhambat
C00165-1,MINE_1,EQ016-1,2021-02-22,Crusher Capacity,1160,ton/day,2021-02-23,Operasi normal
C00166-3,MINE_3,EQ039-3,2021-02-22,Excavator Capacity,500,ton/day,2021-02-22,Perbaikan alat
C00167-2,MINE_2,EQ029-2,2021-02-22,Excavator Capacity,500,ton/day,2021-02-23,Curah hujan tinggi
C00168-1,MINE_1,EQ033-1,2021-03-01,Excavator Capacity,500,ton/day,2021-03-03,Material basah
C00169-2,MINE_2,EQ024-2,2021-03-01,Excavator Capacity,500,ton/day,2021-03-01,Cuaca kurang mendukung
C00170-3,MINE_3,EQ021-3,2021-03-01,Excavator Capacity,500,ton/day,2021-03-06,Cuaca kurang mendukung
C00171-3,MINE_3,EQ039-3,2021-03-08,Excavator Capacity,500,ton/day,2021-03-10,Curah hujan tinggi
C00172-1,MINE_1,EQ023-1,2021-03-08,Crusher Capacity,500,ton/day,2021-03-12,Perbaikan alat
C00173-2,MINE_2,EQ042-2,2021-03-08,Hauling Capacity,500,ton/day,2021-03-09,Akses terhambat
C00174-2,MINE_2,EQ029-2,2021-03-15,Hauling Capacity,500,ton/day,2021-03-20,Akses terhambat
C00175-3,MINE_3,EQ046-3,2021-03-15,Hauling Capacity,500,ton/day,2021-03-20,Jalan rusak
C00176-1,MINE_1,EQ023-1,2021-03-15,Hauling Capacity,500,ton/day,2021-03-17,Akses terhambat
C00177-2,MINE_2,EQ001-2,2021-03-22,Hauling Capacity,500,ton/day,2021-03-27,Akses terhambat
C00178-1,MINE_1,EQ050-1,2021-03-22,Hauling Capacity,500,ton/day,2021-03-26,Kemacetan hauling
C00179-3,MINE_3,EQ009-3,2021-03-22,Hauling Capacity,500,ton/day,2021-03-24,Akses terhambat
C00180-2,MINE_2,EQ001-2,2021-04-01,Hauling Capacity,500,ton/day,2021-04-06,Kemacetan hauling
C00181-3,MINE_3,EQ031-3,2021-04-01,Hauling Capacity,500,ton/day,2021-04-02,Jalan rusak
C00182-1,MINE_1,EQ041-1,2021-04-01,Excavator Capacity,500,ton/day,2021-04-07,Cuaca kurang mendukung
C00183-1,MINE_1,EQ011-1,2021-04-08,Excavator Capacity,500,ton/day,2021-04-14,Cuaca kurang mendukung
C00184-3,MINE_3,EQ031-3,2021-04-08,Hauling Capacity,500,ton/day,2021-04-10,Jalan rusak
C00185-2,MINE_2,EQ048-2,2021-04-08,Hauling Capacity,500,ton/day,2021-04-12,Kemacetan hauling
C00186-3,MINE_3,EQ009-3,2021-04-15,Hauling Capacity,500,ton/day,2021-04-21,Akses terhambat
C00187-2,MINE_2,EQ040-2,2021-04-15,Hauling Capacity,500,ton/day,2021-04-15,Akses terhambat
C00188-1,MINE_1,EQ011-1,2021-04-15,Hauling Capacity,500,ton/day,2021-04-17,Jalan rusak
C00189-3,MINE_3,EQ009-3,2021-04-22,Hauling Capacity,500,ton/day,2021-04-27,Kemacetan hauling
C00190-2,MINE_2,EQ001-2,2021-04-22,Excavator Capacity,500,ton/day,2021-04-25,Curah hujan tinggi
C00191-1,MINE_1,EQ027-1,2021-04-22,Hauling Capacity,500,ton/day,2021-04-25,Jalan rusak
C00192-1,MINE_1,EQ047-1,2021-05-01,Excavator Capacity,500,ton/day,2021-05-05,Cuaca kurang mendukung
C00193-2,MINE_2,EQ019-2,2021-05-01,Hauling Capacity,500,ton/day,2021-05-06,Akses terhambat
C00194-3,MINE_3,EQ046-3,2021-05-01,Hauling Capacity,500,ton/day,2021-05-03,Jalan rusak
C00195-3,MINE_3,EQ021-3,2021-05-08,Hauling Capacity,500,ton/day,2021-05-08,Kemacetan hauling
C00196-2,MINE_2,EQ028-2,2021-05-08,Crusher Capacity,500,ton/day,2021-05-11,Operasi normal
C00197-1,MINE_1,EQ007-1,2021-05-08,Hauling Capacity,813,ton/day,2021-05-11,Kondisi lapangan kurang optimal
C00198-2,MINE_2,EQ004-2,2021-05-15,Hauling Capacity,572,ton/day,2021-05-20,Jalan rusak
C00199-3,MINE_3,EQ046-3,2021-05-15,Excavator Capacity,500,ton/day,2021-05-17,Cuaca kurang mendukung
C00200-1,MINE_1,EQ030-1,2021-05-15,Excavator Capacity,500,ton/day,2021-05-20,Curah hujan tinggi
C00201-2,MINE_2,EQ048-2,2021-05-22,Crusher Capacity,500,ton/day,2021-05-25,Gangguan operasional
C00202-3,MINE_3,EQ039-3,2021-05-22,Hauling Capacity,500,ton/day,2021-05-26,Jalan rusak
C00203-1,MINE_1,EQ017-1,2021-05-22,Excavator Capacity,500,ton/day,2021-05-24,Curah hujan tinggi
C00204-1,MINE_1,EQ047-1,2021-06-01,Excavator Capacity,500,ton/day,2021-06-05,Material basah
C00205-2,MINE_2,EQ049-2,2021-06-01,Hauling Capacity,500,ton/day,2021-06-02,Akses terhambat
C00206-3,MINE_3,EQ046-3,2021-06-01,Hauling Capacity,500,ton/day,2021-06-01,Akses terhambat
C00207-1,MINE_1,EQ047-1,2021-06-08,Hauling Capacity,500,ton/day,2021-06-14,Jalan rusak
C00208-3,MINE_3,EQ021-3,2021-06-08,Crusher Capacity,500,ton/day,2021-06-11,Perbaikan alat
C00209-2,MINE_2,EQ018-2,2021-06-08,Hauling Capacity,500,ton/day,2021-06-08,Kondisi lapangan kurang optimal
C00210-1,MINE_1,EQ017-1,2021-06-15,Hauling Capacity,500,ton/day,2021-06-20,Akses terhambat
C00211-2,MINE_2,EQ018-2,2021-06-15,Hauling Capacity,500,ton/day,2021-06-15,Kemacetan hauling
C00212-3,MINE_3,EQ021-3,2021-06-15,Hauling Capacity,500,ton/day,2021-06-19,Maintenance unit
C00213-1,MINE_1,EQ015-1,2021-06-22,Hauling Capacity,500,ton/day,2021-06-25,Jalan rusak
C00214-3,MINE_3,EQ009-3,2021-06-22,Hauling Capacity,500,ton/day,2021-06-28,Jalan rusak
C00215-2,MINE_2,EQ019-2,2021-06-22,Excavator Capacity,500,ton/day,2021-06-27,Curah hujan tinggi
C00216-1,MINE_1,EQ043-1,2021-07-01,Excavator Capacity,500,ton/day,2021-07-01,Curah hujan tinggi
C00217-3,MINE_3,EQ031-3,2021-07-01,Hauling Capacity,500,ton/day,2021-07-06,Jalan rusak
C00218-2,MINE_2,EQ019-2,2021-07-01,Hauling Capacity,500,ton/day,2021-07-03,Kemacetan hauling
C00219-1,MINE_1,EQ011-1,2021-07-08,Excavator Capacity,500,ton/day,2021-07-09,Cuaca kurang mendukung
C00220-2,MINE_2,EQ019-2,2021-07-08,Hauling Capacity,500,ton/day,2021-07-08,Akses terhambat
C00221-3,MINE_3,EQ009-3,2021-07-08,Excavator Capacity,500,ton/day,2021-07-13,Curah hujan tinggi
C00222-2,MINE_2,EQ048-2,2021-07-15,Excavator Capacity,500,ton/day,2021-07-15,Kerusakan mekanis
C00223-3,MINE_3,EQ046-3,2021-07-15,Hauling Capacity,500,ton/day,2021-07-19,Jalan rusak
C00224-1,MINE_1,EQ011-1,2021-07-15,Excavator Capacity,500,ton/day,2021-07-21,Maintenance unit
C00225-2,MINE_2,EQ025-2,2021-07-22,Hauling Capacity,500,ton/day,2021-07-26,Kemacetan hauling
C00226-1,MINE_1,EQ047-1,2021-07-22,Excavator Capacity,500,ton/day,2021-07-23,Curah hujan tinggi
C00227-3,MINE_3,EQ021-3,2021-07-22,Hauling Capacity,500,ton/day,2021-07-24,Jalan rusak
C00228-3,MINE_3,EQ021-3,2021-08-01,Excavator Capacity,500,ton/day,2021-08-02,Material basah
C00229-2,MINE_2,EQ042-2,2021-08-01,Hauling Capacity,500,ton/day,2021-08-07,Kemacetan hauling
C00230-1,MINE_1,EQ011-1,2021-08-01,Hauling Capacity,500,ton/day,2021-08-05,Jalan rusak
C00231-2,MINE_2,EQ049-2,2021-08-08,Hauling Capacity,500,ton/day,2021-08-14,Akses terhambat
C00232-1,MINE_1,EQ017-1,2021-08-08,Excavator Capacity,500,ton/day,2021-08-12,Curah hujan tinggi
C00233-3,MINE_3,EQ009-3,2021-08-08,Excavator Capacity,500,ton/day,2021-08-09,Cuaca kurang mendukung
C00234-1,MINE_1,EQ007-1,2021-08-15,Hauling Capacity,500,ton/day,2021-08-15,Jalan rusak
C00235-3,MINE_3,EQ009-3,2021-08-15,Crusher Capacity,500,ton/day,2021-08-19,Maintenance unit
C00236-2,MINE_2,EQ019-2,2021-08-15,Hauling Capacity,500,ton/day,2021-08-15,Kemacetan hauling
