shipment_id,mine_id,week_start,vessel_name,destination_port,coal_tonnage,etd,eta,status
SHP00040-1,MINE_1,2019-11-01,MV Kalimantan Jaya,Banjarmasin,29243,2019-11-04,2019-11-07,On Schedule
SHP00041-1,MINE_1,2019-11-08,MV Nusantara 01,Banjarmasin,33227,2019-11-10,2019-11-13,Pending
SHP00042-1,MINE_1,2019-11-15,MV Nusantara 01,Surabaya,23155,2019-11-15,2019-11-20,Delayed
SHP00043-1,MINE_1,2019-11-22,MV Borneo Star,Banjarmasin,31646,2019-11-27,2019-11-29,On Schedule
SHP00044-1,MINE_1,2019-12-01,MV Borneo Star,Surabaya,26835,2019-12-01,2019-12-07,On Schedule
SHP00045-1,MINE_1,2019-12-08,MV Kalimantan Jaya,Surabaya,35932,2019-12-13,2019-12-19,Pending
SHP00046-1,MINE_1,2019-12-15,MV Nusantara 01,Banjarmasin,34554,2019-12-15,2019-12-16,Delayed
SHP00047-1,MINE_1,2019-12-22,MV Nusantara 01,Surabaya,27183,2019-12-27,2019-12-30,Delayed
SHP00336-2,MINE_2,2020-01-01,MV Kalimantan Jaya,Balikpapan,35583,2020-01-04,2020-01-06,On Schedule
SHP00048-1,MINE_1,2020-01-01,MV Nusantara 01,Surabaya,31482,2020-01-06,2020-01-09,Pending
SHP00049-1,MINE_1,2020-01-08,MV Borneo Star,Surabaya,26969,2020-01-13,2020-01-17,On Schedule
SHP00337-2,MINE_2,2020-01-08,MV Kalimantan Jaya,Samarinda,20699,2020-01-11,2020-01-12,On Schedule
SHP00050-1,MINE_1,2020-01-15,MV Kalimantan Jaya,Surabaya,35880,2020-01-18,2020-01-23,On Schedule
SHP00338-2,MINE_2,2020-01-15,MV Nusantara 01,Samarinda,32429,2020-01-20,2020-01-23,On Schedule
SHP00051-1,MINE_1,2020-01-22,MV Borneo Star,Surabaya,25677,2020-01-26,2020-01-31,Pending
SHP00339-2,MINE_2,2020-01-22,MV Nusantara 01,Balikpapan,22022,2020-01-26,2020-01-28,On Schedule
SHP00052-1,MINE_1,2020-02-01,MV Kalimantan Jaya,Surabaya,39067,2020-02-05,2020-02-10,On Schedule
SHP00340-2,MINE_2,2020-02-01,MV Kalimantan Jaya,Balikpapan,25716,2020-02-01,2020-02-03,On Schedule
SHP00341-2,MINE_2,2020-02-08,MV Borneo Star,Samarinda,16060,2020-02-11,2020-02-12,Pending
SHP00053-1,MINE_1,2020-02-08,MV Kalimantan Jaya,Surabaya,15699,2020-02-12,2020-02-17,Delayed
SHP00342-2,MINE_2,2020-02-15,MV Nusantara 01,Samarinda,32568,2020-02-19,2020-02-22,On Schedule
SHP00054-1,MINE_1,2020-02-15,MV Borneo Star,Banjarmasin,38093,2020-02-16,2020-02-19,On Schedule
SHP00343-2,MINE_2,2020-02-22,MV Borneo Star,Balikpapan,26093,2020-02-23,2020-02-26,On Schedule
SHP00055-1,MINE_1,2020-02-22,MV Nusantara 01,Banjarmasin,27249,2020-02-23,2020-02-25,Delayed
SHP00344-2,MINE_2,2020-03-01,MV Kalimantan Jaya,Samarinda,22343,2020-03-03,2020-03-05,On Schedule
SHP00056-1,MINE_1,2020-03-01,MV Borneo Star,Banjarmasin,33225,2020-03-02,2020-03-05,Delayed
SHP00345-2,MINE_2,2020-03-08,MV Kalimantan Jaya,Balikpapan,39376,2020-03-09,2020-03-12,On Schedule
SHP00057-1,MINE_1,2020-03-08,MV Kalimantan Jaya,Surabaya,37386,2020-03-13,2020-03-19,On Schedule
SHP00346-2,MINE_2,2020-03-15,MV Borneo Star,Balikpapan,35153,2020-03-20,2020-03-23,On Schedule
SHP00058-1,MINE_1,2020-03-15,MV Kalimantan Jaya,Surabaya,38893,2020-03-16,2020-03-20,On Schedule
SHP00347-2,MINE_2,2020-03-22,MV Borneo Star,Balikpapan,17491,2020-03-27,2020-03-30,On Schedule
SHP00059-1,MINE_1,2020-03-22,MV Kalimantan Jaya,Surabaya,31388,2020-03-25,2020-03-31,On Schedule
SHP00348-2,MINE_2,2020-04-01,MV Borneo Star,Samarinda,19142,2020-04-04,2020-04-06,On Schedule
SHP00060-1,MINE_1,2020-04-01,MV Kalimantan Jaya,Surabaya,33077,2020-04-04,2020-04-08,On Schedule
SHP00349-2,MINE_2,2020-04-08,MV Nusantara 01,Samarinda,29262,2020-04-11,2020-04-13,On Schedule
SHP00061-1,MINE_1,2020-04-08,MV Borneo Star,Banjarmasin,16150,2020-04-13,2020-04-16,On Schedule
SHP00350-2,MINE_2,2020-04-15,MV Kalimantan Jaya,Samarinda,31896,2020-04-16,2020-04-18,On Schedule
SHP00062-1,MINE_1,2020-04-15,MV Borneo Star,Surabaya,31244,2020-04-15,2020-04-22,On Schedule
SHP00063-1,MINE_1,2020-04-22,MV Kalimantan Jaya,Banjarmasin,38388,2020-04-26,2020-04-28,On Schedule
SHP00351-2,MINE_2,2020-04-22,MV Borneo Star,Balikpapan,22253,2020-04-24,2020-04-25,On Schedule
SHP00352-2,MINE_2,2020-05-01,MV Borneo Star,Balikpapan,28296,2020-05-05,2020-05-08,On Schedule
SHP00064-1,MINE_1,2020-05-01,MV Borneo Star,Surabaya,26151,2020-05-05,2020-05-11,On Schedule
SHP00353-2,MINE_2,2020-05-08,MV Kalimantan Jaya,Samarinda,38805,2020-05-11,2020-05-12,On Schedule
SHP00065-1,MINE_1,2020-05-08,MV Nusantara 01,Surabaya,17849,2020-05-09,2020-05-16,On Schedule
SHP00066-1,MINE_1,2020-05-15,MV Borneo Star,Surabaya,24823,2020-05-17,2020-05-21,Delayed
SHP00354-2,MINE_2,2020-05-15,MV Kalimantan Jaya,Samarinda,31347,2020-05-18,2020-05-21,On Schedule
SHP00067-1,MINE_1,2020-05-22,MV Nusantara 01,Surabaya,26938,2020-05-25,2020-05-29,On Schedule
SHP00355-2,MINE_2,2020-05-22,MV Kalimantan Jaya,Samarinda,37116,2020-05-24,2020-05-27,On Schedule
SHP00068-1,MINE_1,2020-06-01,MV Kalimantan Jaya,Banjarmasin,39107,2020-06-02,2020-06-05,On Schedule
SHP00356-2,MINE_2,2020-06-01,MV Nusantara 01,Balikpapan,17082,2020-06-02,2020-06-03,On Schedule
SHP00357-2,MINE_2,2020-06-08,MV Borneo Star,Balikpapan,30305,2020-06-12,2020-06-14,On Schedule
SHP00069-1,MINE_1,2020-06-08,MV Borneo Star,Banjarmasin,18267,2020-06-08,2020-06-11,On Schedule
SHP00358-2,MINE_2,2020-06-15,MV Borneo Star,Samarinda,22543,2020-06-17,2020-06-18,Delayed
SHP00070-1,MINE_1,2020-06-15,MV Kalimantan Jaya,Banjarmasin,20988,2020-06-15,2020-06-17,Delayed
SHP00071-1,MINE_1,2020-06-22,MV Nusantara 01,Banjarmasin,20104,2020-06-24,2020-06-26,Delayed
SHP00359-2,MINE_2,2020-06-22,MV Nusantara 01,Balikpapan,35150,2020-06-26,2020-06-27,Delayed
SHP00360-2,MINE_2,2020-07-01,MV Kalimantan Jaya,Samarinda,28584,2020-07-01,2020-07-03,On Schedule
SHP00072-1,MINE_1,2020-07-01,MV Kalimantan Jaya,Surabaya,22186,2020-07-05,2020-07-10,On Schedule
SHP00361-2,MINE_2,2020-07-08,MV Kalimantan Jaya,Samarinda,17502,2020-07-10,2020-07-11,Pending
SHP00073-1,MINE_1,2020-07-08,MV Nusantara 01,Surabaya,20486,2020-07-11,2020-07-16,On Schedule
SHP00074-1,MINE_1,2020-07-15,MV Kalimantan Jaya,Banjarmasin,26130,2020-07-18,2020-07-19,On Schedule
SHP00362-2,MINE_2,2020-07-15,MV Kalimantan Jaya,Samarinda,33540,2020-07-15,2020-07-18,Pending
SHP00363-2,MINE_2,2020-07-22,MV Borneo Star,Samarinda,19729,2020-07-27,2020-07-30,On Schedule
SHP00075-1,MINE_1,2020-07-22,MV Nusantara 01,Banjarmasin,21801,2020-07-24,2020-07-27,Pending
SHP00076-1,MINE_1,2020-08-01,MV Kalimantan Jaya,Surabaya,22056,2020-08-02,2020-08-08,On Schedule
SHP00364-2,MINE_2,2020-08-01,MV Nusantara 01,Balikpapan,38322,2020-08-05,2020-08-07,Delayed
SHP00365-2,MINE_2,2020-08-08,MV Kalimantan Jaya,Samarinda,28807,2020-08-12,2020-08-14,Delayed
SHP00077-1,MINE_1,2020-08-08,MV Borneo Star,Surabaya,16324,2020-08-08,2020-08-11,Delayed
SHP00366-2,MINE_2,2020-08-15,MV Borneo Star,Balikpapan,34307,2020-08-17,2020-08-18,On Schedule
SHP00078-1,MINE_1,2020-08-15,MV Nusantara 01,Surabaya,30485,2020-08-16,2020-08-21,On Schedule
SHP00367-2,MINE_2,2020-08-22,MV Kalimantan Jaya,Balikpapan,38003,2020-08-25,2020-08-27,Delayed
SHP00079-1,MINE_1,2020-08-22,MV Nusantara 01,Banjarmasin,25188,2020-08-22,2020-08-25,On Schedule
SHP00368-2,MINE_2,2020-09-01,MV Kalimantan Jaya,Samarinda,38960,2020-09-04,2020-09-05,Delayed
SHP00080-1,MINE_1,2020-09-01,MV Borneo Star,Banjarmasin,18627,2020-09-06,2020-09-08,Pending
SHP00081-1,MINE_1,2020-09-08,MV Kalimantan Jaya,Banjarmasin,26003,2020-09-12,2020-09-14,On Schedule
SHP00369-2,MINE_2,2020-09-08,MV Nusantara 01,Samarinda,30761,2020-09-11,2020-09-12,On Schedule
SHP00082-1,MINE_1,2020-09-15,MV Kalimantan Jaya,Surabaya,26829,2020-09-15,2020-09-22,On Schedule
SHP00370-2,MINE_2,2020-09-15,MV Nusantara 01,Samarinda,25975,2020-09-17,2020-09-19,On Schedule
SHP00371-2,MINE_2,2020-09-22,MV Borneo Star,Balikpapan,24337,2020-09-25,2020-09-26,On Schedule
SHP00083-1,MINE_1,2020-09-22,MV Borneo Star,Surabaya,15539,2020-09-23,2020-09-29,On Schedule
SHP00372-2,MINE_2,2020-10-01,MV Kalimantan Jaya,Balikpapan,38486,2020-10-03,2020-10-05,On Schedule
SHP00084-1,MINE_1,2020-10-01,MV Kalimantan Jaya,Banjarmasin,17779,2020-10-04,2020-10-05,On Schedule
SHP00085-1,MINE_1,2020-10-08,MV Kalimantan Jaya,Surabaya,27677,2020-10-10,2020-10-17,Pending
SHP00373-2,MINE_2,2020-10-08,MV Kalimantan Jaya,Samarinda,15009,2020-10-08,2020-10-10,Pending
SHP00374-2,MINE_2,2020-10-15,MV Borneo Star,Samarinda,16015,2020-10-19,2020-10-20,On Schedule
SHP00086-1,MINE_1,2020-10-15,MV Kalimantan Jaya,Surabaya,38833,2020-10-15,2020-10-20,On Schedule
SHP00375-2,MINE_2,2020-10-22,MV Borneo Star,Samarinda,28772,2020-10-24,2020-10-25,On Schedule
SHP00087-1,MINE_1,2020-10-22,MV Kalimantan Jaya,Banjarmasin,23175,2020-10-22,2020-10-23,On Schedule
SHP00376-2,MINE_2,2020-11-01,MV Kalimantan Jaya,Samarinda,30106,2020-11-05,2020-11-07,On Schedule
SHP00088-1,MINE_1,2020-11-01,MV Kalimantan Jaya,Banjarmasin,35562,2020-11-05,2020-11-07,On Schedule
SHP00089-1,MINE_1,2020-11-08,MV Borneo Star,Banjarmasin,27338,2020-11-13,2020-11-14,On Schedule
SHP00377-2,MINE_2,2020-11-08,MV Borneo Star,Samarinda,18419,2020-11-08,2020-11-10,On Schedule
SHP00090-1,MINE_1,2020-11-15,MV Nusantara 01,Surabaya,25357,2020-11-16,2020-11-20,Delayed
SHP00378-2,MINE_2,2020-11-15,MV Borneo Star,Balikpapan,23427,2020-11-15,2020-11-17,On Schedule
SHP00091-1,MINE_1,2020-11-22,MV Borneo Star,Banjarmasin,36103,2020-11-22,2020-11-23,On Schedule
SHP00379-2,MINE_2,2020-11-22,MV Nusantara 01,Samarinda,27173,2020-11-26,2020-11-27,Delayed
SHP00092-1,MINE_1,2020-12-01,MV Nusantara 01,Banjarmasin,21949,2020-12-06,2020-12-08,On Schedule
SHP00380-2,MINE_2,2020-12-01,MV Borneo Star,Balikpapan,25209,2020-12-03,2020-12-06,On Schedule
SHP00093-1,MINE_1,2020-12-08,MV Borneo Star,Banjarmasin,19854,2020-12-11,2020-12-13,On Schedule
SHP00381-2,MINE_2,2020-12-08,MV Kalimantan Jaya,Samarinda,37711,2020-12-12,2020-12-14,Delayed
SHP00382-2,MINE_2,2020-12-15,MV Kalimantan Jaya,Balikpapan,22941,2020-12-18,2020-12-19,On Schedule
SHP00094-1,MINE_1,2020-12-15,MV Kalimantan Jaya,Surabaya,27015,2020-12-17,2020-12-22,On Schedule
SHP00095-1,MINE_1,2020-12-22,MV Nusantara 01,Banjarmasin,37415,2020-12-24,2020-12-26,On Schedule
SHP00383-2,MINE_2,2020-12-22,MV Kalimantan Jaya,Samarinda,19188,2020-12-24,2020-12-27,Pending
SHP00384-2,MINE_2,2021-01-01,MV Kalimantan Jaya,Balikpapan,39340,2021-01-03,2021-01-06,On Schedule
SHP00624-3,MINE_3,2021-01-01,MV Sumatra Raya,Tanjungbalai,21981,2021-01-05,2021-01-12,On Schedule
SHP00096-1,MINE_1,2021-01-01,MV Kalimantan Jaya,Surabaya,25160,2021-01-02,2021-01-06,On Schedule
SHP00625-3,MINE_3,2021-01-08,MV Sriwijaya,Belawan,25488,2021-01-08,2021-01-12,On Schedule
SHP00385-2,MINE_2,2021-01-08,MV Borneo Star,Samarinda,34262,2021-01-13,2021-01-16,On Schedule
SHP00097-1,MINE_1,2021-01-08,MV Kalimantan Jaya,Surabaya,29178,2021-01-11,2021-01-14,On Schedule
SHP00098-1,MINE_1,2021-01-15,MV Nusantara 01,Banjarmasin,23150,2021-01-20,2021-01-22,On Schedule
SHP00626-3,MINE_3,2021-01-15,MV Sumatra Raya,Belawan,28623,2021-01-16,2021-01-21,On Schedule
SHP00386-2,MINE_2,2021-01-15,MV Nusantara 01,Samarinda,20870,2021-01-20,2021-01-23,On Schedule
SHP00627-3,MINE_3,2021-01-22,MV Sumatra Raya,Tanjungbalai,16906,2021-01-27,2021-02-01,On Schedule
SHP00387-2,MINE_2,2021-01-22,MV Kalimantan Jaya,Samarinda,16062,2021-01-26,2021-01-28,On Schedule
SHP00099-1,MINE_1,2021-01-22,MV Nusantara 01,Surabaya,19632,2021-01-23,2021-01-29,Delayed
SHP00388-2,MINE_2,2021-02-01,MV Kalimantan Jaya,Balikpapan,31616,2021-02-02,2021-02-05,On Schedule
SHP00100-1,MINE_1,2021-02-01,MV Nusantara 01,Surabaya,27910,2021-02-06,2021-02-10,Delayed
SHP00628-3,MINE_3,2021-02-01,MV Sriwijaya,Tanjungbalai,17472,2021-02-03,2021-02-07,On Schedule
SHP00629-3,MINE_3,2021-02-08,MV Sumatra Raya,Tanjungbalai,25167,2021-02-09,2021-02-14,On Schedule
SHP00389-2,MINE_2,2021-02-08,MV Borneo Star,Samarinda,32844,2021-02-08,2021-02-09,On Schedule
SHP00101-1,MINE_1,2021-02-08,MV Borneo Star,Surabaya,34901,2021-02-11,2021-02-16,On Schedule
SHP00102-1,MINE_1,2021-02-15,MV Nusantara 01,Surabaya,39818,2021-02-15,2021-02-20,On Schedule
SHP00630-3,MINE_3,2021-02-15,MV Sriwijaya,Tanjungbalai,23659,2021-02-20,2021-02-24,Pending
SHP00390-2,MINE_2,2021-02-15,MV Nusantara 01,Balikpapan,28917,2021-02-20,2021-02-21,On Schedule
SHP00103-1,MINE_1,2021-02-22,MV Nusantara 01,Surabaya,15846,2021-02-22,2021-02-26,On Schedule
SHP00631-3,MINE_3,2021-02-22,MV Sumatra Raya,Belawan,21469,2021-02-26,2021-03-04,Pending
SHP00391-2,MINE_2,2021-02-22,MV Nusantara 01,Balikpapan,21283,2021-02-22,2021-02-23,On Schedule
SHP00104-1,MINE_1,2021-03-01,MV Borneo Star,Surabaya,16917,2021-03-06,2021-03-13,On Schedule
SHP00392-2,MINE_2,2021-03-01,MV Kalimantan Jaya,Samarinda,27977,2021-03-03,2021-03-04,On Schedule
SHP00632-3,MINE_3,2021-03-01,MV Sriwijaya,Belawan,22041,2021-03-02,2021-03-08,On Schedule
SHP00633-3,MINE_3,2021-03-08,MV Sumatra Raya,Tanjungbalai,25568,2021-03-08,2021-03-15,Delayed
SHP00105-1,MINE_1,2021-03-08,MV Nusantara 01,Banjarmasin,18490,2021-03-13,2021-03-16,On Schedule
SHP00393-2,MINE_2,2021-03-08,MV Kalimantan Jaya,Samarinda,16908,2021-03-13,2021-03-15,Delayed
SHP00394-2,MINE_2,2021-03-15,MV Kalimantan Jaya,Balikpapan,33944,2021-03-18,2021-03-21,Delayed
SHP00634-3,MINE_3,2021-03-15,MV Sumatra Raya,Tanjungbalai,24064,2021-03-19,2021-03-24,Delayed
SHP00106-1,MINE_1,2021-03-15,MV Borneo Star,Banjarmasin,34282,2021-03-19,2021-03-20,On Schedule
SHP00395-2,MINE_2,2021-03-22,MV Borneo Star,Balikpapan,29060,2021-03-25,2021-03-26,On Schedule
SHP00107-1,MINE_1,2021-03-22,MV Borneo Star,Surabaya,22804,2021-03-27,2021-04-01,On Schedule
SHP00635-3,MINE_3,2021-03-22,MV Sriwijaya,Belawan,17192,2021-03-22,2021-03-25,Delayed
SHP00396-2,MINE_2,2021-04-01,MV Nusantara 01,Balikpapan,18687,2021-04-06,2021-04-07,On Schedule
SHP00636-3,MINE_3,2021-04-01,MV Sriwijaya,Belawan,32586,2021-04-06,2021-04-11,On Schedule
SHP00108-1,MINE_1,2021-04-01,MV Nusantara 01,Banjarmasin,24446,2021-04-05,2021-04-06,On Schedule
SHP00109-1,MINE_1,2021-04-08,MV Kalimantan Jaya,Surabaya,26260,2021-04-08,2021-04-11,On Schedule
SHP00637-3,MINE_3,2021-04-08,MV Sriwijaya,Belawan,34029,2021-04-13,2021-04-19,Delayed
SHP00397-2,MINE_2,2021-04-08,MV Kalimantan Jaya,Samarinda,28429,2021-04-09,2021-04-10,Delayed
SHP00638-3,MINE_3,2021-04-15,MV Sriwijaya,Belawan,21359,2021-04-18,2021-04-25,On Schedule
SHP00398-2,MINE_2,2021-04-15,MV Nusantara 01,Samarinda,29382,2021-04-19,2021-04-20,On Schedule
SHP00110-1,MINE_1,2021-04-15,MV Kalimantan Jaya,Surabaya,21898,2021-04-17,2021-04-22,On Schedule
SHP00639-3,MINE_3,2021-04-22,MV Sumatra Raya,Belawan,20779,2021-04-24,2021-05-01,On Schedule
SHP00399-2,MINE_2,2021-04-22,MV Borneo Star,Balikpapan,27999,2021-04-27,2021-04-29,On Schedule
SHP00111-1,MINE_1,2021-04-22,MV Borneo Star,Surabaya,25457,2021-04-24,2021-04-30,On Schedule
SHP00112-1,MINE_1,2021-05-01,MV Borneo Star,Surabaya,39174,2021-05-01,2021-05-04,Delayed
SHP00400-2,MINE_2,2021-05-01,MV Nusantara 01,Balikpapan,35260,2021-05-04,2021-05-05,Delayed
SHP00640-3,MINE_3,2021-05-01,MV Sumatra Raya,Belawan,37408,2021-05-04,2021-05-08,On Schedule
SHP00641-3,MINE_3,2021-05-08,MV Sriwijaya,Tanjungbalai,28718,2021-05-08,2021-05-13,On Schedule
SHP00401-2,MINE_2,2021-05-08,MV Kalimantan Jaya,Samarinda,29755,2021-05-09,2021-05-11,On Schedule
SHP00113-1,MINE_1,2021-05-08,MV Kalimantan Jaya,Banjarmasin,21514,2021-05-13,2021-05-16,On Schedule
SHP00402-2,MINE_2,2021-05-15,MV Kalimantan Jaya,Samarinda,39777,2021-05-15,2021-05-16,Delayed
SHP00642-3,MINE_3,2021-05-15,MV Sriwijaya,Tanjungbalai,31920,2021-05-15,2021-05-20,Delayed
SHP00114-1,MINE_1,2021-05-15,MV Borneo Star,Surabaya,39993,2021-05-16,2021-05-21,Pending
SHP00403-2,MINE_2,2021-05-22,MV Nusantara 01,Samarinda,28490,2021-05-25,2021-05-28,On Schedule
SHP00643-3,MINE_3,2021-05-22,MV Sriwijaya,Belawan,37359,2021-05-25,2021-06-01,On Schedule
SHP00115-1,MINE_1,2021-05-22,MV Kalimantan Jaya,Banjarmasin,34097,2021-05-24,2021-05-26,On Schedule
SHP00116-1,MINE_1,2021-06-01,MV Kalimantan Jaya,Banjarmasin,32072,2021-06-01,2021-06-02,On Schedule
SHP00404-2,MINE_2,2021-06-01,MV Borneo Star,Balikpapan,35806,2021-06-05,2021-06-06,On Schedule
SHP00644-3,MINE_3,2021-06-01,MV Sriwijaya,Tanjungbalai,15951,2021-06-03,2021-06-08,Delayed
SHP00117-1,MINE_1,2021-06-08,MV Borneo Star,Banjarmasin,24692,2021-06-08,2021-06-09,On Schedule
SHP00645-3,MINE_3,2021-06-08,MV Sumatra Raya,Belawan,20490,2021-06-09,2021-06-12,On Schedule
SHP00405-2,MINE_2,2021-06-08,MV Borneo Star,Balikpapan,26485,2021-06-11,2021-06-12,On Schedule
SHP00118-1,MINE_1,2021-06-15,MV Nusantara 01,Surabaya,27342,2021-06-15,2021-06-22,Pending
SHP00406-2,MINE_2,2021-06-15,MV Borneo Star,Balikpapan,37689,2021-06-17,2021-06-19,On Schedule
SHP00646-3,MINE_3,2021-06-15,MV Sriwijaya,Belawan,34846,2021-06-18,2021-06-22,On Schedule
SHP00119-1,MINE_1,2021-06-22,MV Kalimantan Jaya,Banjarmasin,25682,2021-06-24,2021-06-27,On Schedule
SHP00647-3,MINE_3,2021-06-22,MV Sumatra Raya,Tanjungbalai,21722,2021-06-22,2021-06-29,Delayed
SHP00407-2,MINE_2,2021-06-22,MV Nusantara 01,Balikpapan,17143,2021-06-23,2021-06-26,Pending
SHP00120-1,MINE_1,2021-07-01,MV Borneo Star,Banjarmasin,37996,2021-07-04,2021-07-05,On Schedule
SHP00648-3,MINE_3,2021-07-01,MV Sriwijaya,Tanjungbalai,31032,2021-07-02,2021-07-06,On Schedule
SHP00408-2,MINE_2,2021-07-01,MV Nusantara 01,Balikpapan,28859,2021-07-05,2021-07-08,On Schedule
SHP00121-1,MINE_1,2021-07-08,MV Borneo Star,Surabaya,37419,2021-07-08,2021-07-15,On Schedule
SHP00409-2,MINE_2,2021-07-08,MV Nusantara 01,Balikpapan,26382,2021-07-10,2021-07-13,On Schedule
SHP00649-3,MINE_3,2021-07-08,MV Sriwijaya,Belawan,22083,2021-07-13,2021-07-16,On Schedule
SHP00410-2,MINE_2,2021-07-15,MV Borneo Star,Balikpapan,30517,2021-07-18,2021-07-19,On Schedule
SHP00650-3,MINE_3,2021-07-15,MV Sumatra Raya,Belawan,18186,2021-07-15,2021-07-19,On Schedule
SHP00122-1,MINE_1,2021-07-15,MV Kalimantan Jaya,Surabaya,16304,2021-07-16,2021-07-23,On Schedule
SHP00411-2,MINE_2,2021-07-22,MV Borneo Star,Balikpapan,33435,2021-07-24,2021-07-26,On Schedule
SHP00123-1,MINE_1,2021-07-22,MV Kalimantan Jaya,Banjarmasin,23996,2021-07-23,2021-07-26,On Schedule
