effcap_id,plan_id,mine_id,equipment_id,equipment_type,week_start,road_condition,weather_condition,availability_pct,effective_capacity_ton_day,remark
EFC00063-1,PLAN0056-1,MINE_1,EQ017-1,Loader,2020-02-22,Good,Hujan ringan,73,26.18,Moderate Weather Impact
EFC00064-2,PLAN0009-2,MINE_2,EQ040-2,Dump Truck,2020-03-01,Good,Mendung,91,1130.88,Optimal
EFC00065-1,PLAN0057-1,MINE_1,EQ041-1,Loader,2020-03-01,Fair,Mendung,73,23.07,Optimal
EFC00066-2,PLAN0010-2,MINE_2,EQ025-2,Excavator,2020-03-08,Good,Mendung,88,356.39,Optimal
EFC00067-1,PLAN0058-1,MINE_1,EQ027-1,Excavator,2020-03-08,Fair,Mendung,70,209.08,Optimal
EFC00068-2,PLAN0011-2,MINE_2,EQ048-2,Loader,2020-03-15,Good,Berawan,77,24.29,Optimal
EFC00069-1,PLAN0059-1,MINE_1,EQ032-1,Loader,2020-03-15,Fair,Mendung,85,31.17,Optimal
EFC00070-2,PLAN0012-2,MINE_2,EQ018-2,Excavator,2020-03-22,Good,Mendung,95,22.32,Optimal
EFC00071-1,PLAN0060-1,MINE_1,EQ043-1,Excavator,2020-03-22,Good,Mendung,93,40.33,Optimal
EFC00072-2,PLAN0013-2,MINE_2,EQ049-2,Loader,2020-04-01,Good,Berawan,85,50.38,Optimal
EFC00073-1,PLAN0061-1,MINE_1,EQ006-1,Dump Truck,2020-04-01,Good,Mendung,92,1394.82,Optimal
EFC00074-2,PLAN0014-2,MINE_2,EQ029-2,Excavator,2020-04-08,Good,Berawan,92,64.96,Optimal
EFC00075-1,PLAN0062-1,MINE_1,EQ050-1,Dump Truck,2020-04-08,Fair,Mendung,82,1347.73,Optimal
EFC00076-2,PLAN0015-2,MINE_2,EQ049-2,Loader,2020-04-15,Good,Mendung,85,49.38,Optimal
EFC00077-1,PLAN0063-1,MINE_1,EQ016-1,Dump Truck,2020-04-15,Good,Mendung,78,1520.14,Optimal
EFC00078-1,PLAN0064-1,MINE_1,EQ005-1,Dump Truck,2020-04-22,Good,Mendung,92,1503.81,Optimal
EFC00079-2,PLAN0016-2,MINE_2,EQ024-2,Loader,2020-04-22,Good,Mendung,80,43.07,Optimal
EFC00080-2,PLAN0017-2,MINE_2,EQ042-2,Dump Truck,2020-05-01,Good,Mendung,91,2002.99,Optimal
EFC00081-1,PLAN0065-1,MINE_1,EQ037-1,Excavator,2020-05-01,Good,Mendung,80,45.27,Optimal
EFC00082-2,PLAN0018-2,MINE_2,EQ049-2,Loader,2020-05-08,Good,Mendung,95,51.22,Optimal
EFC00083-1,PLAN0066-1,MINE_1,EQ050-1,Dump Truck,2020-05-08,Good,Mendung,92,1264.59,Optimal
EFC00084-1,PLAN0067-1,MINE_1,EQ007-1,Dump Truck,2020-05-15,Fair,Mendung,80,1268.02,Optimal
EFC00085-2,PLAN0019-2,MINE_2,EQ049-2,Loader,2020-05-15,Good,Mendung,96,46.77,Optimal
EFC00086-1,PLAN0068-1,MINE_1,EQ047-1,Excavator,2020-05-22,Good,Mendung,76,269.81,Optimal
EFC00087-2,PLAN0020-2,MINE_2,EQ024-2,Loader,2020-05-22,Good,Mendung,99,84.21,Optimal
EFC00088-1,PLAN0069-1,MINE_1,EQ007-1,Dump Truck,2020-06-01,Good,Mendung,76,1431.01,Optimal
EFC00089-2,PLAN0021-2,MINE_2,EQ029-2,Excavator,2020-06-01,Good,Mendung,91,48.53,Optimal
EFC00090-2,PLAN0022-2,MINE_2,EQ004-2,Dump Truck,2020-06-08,Fair,Mendung,86,1399.1,Optimal
EFC00091-1,PLAN0070-1,MINE_1,EQ006-1,Dump Truck,2020-06-08,Good,Mendung,77,1005.08,Optimal
EFC00092-2,PLAN0023-2,MINE_2,EQ025-2,Excavator,2020-06-15,Good,Mendung,83,332.7,Optimal
EFC00093-1,PLAN0071-1,MINE_1,EQ045-1,Excavator,2020-06-15,Good,Mendung,85,7.19,Optimal
EFC00094-1,PLAN0072-1,MINE_1,EQ045-1,Excavator,2020-06-22,Good,Mendung,83,8.01,Optimal
EFC00095-2,PLAN0024-2,MINE_2,EQ004-2,Dump Truck,2020-06-22,Good,Mendung,89,1275.57,Optimal
EFC00096-2,PLAN0025-2,MINE_2,EQ025-2,Excavator,2020-07-01,Fair,Mendung,92,314.81,Optimal
EFC00097-1,PLAN0073-1,MINE_1,EQ045-1,Excavator,2020-07-01,Fair,Mendung,88,6.35,Optimal
EFC00098-2,PLAN0026-2,MINE_2,EQ049-2,Loader,2020-07-08,Good,Mendung,91,33.03,Optimal
EFC00099-1,PLAN0074-1,MINE_1,EQ011-1,Loader,2020-07-08,Good,Mendung,84,21.66,Optimal
EFC00100-1,PLAN0075-1,MINE_1,EQ047-1,Excavator,2020-07-15,Good,Berawan,86,233.6,Optimal
EFC00101-2,PLAN0027-2,MINE_2,EQ019-2,Dump Truck,2020-07-15,Good,Berawan,98,1231.43,Optimal
EFC00102-2,PLAN0028-2,MINE_2,EQ048-2,Loader,2020-07-22,Good,Berawan,98,31.54,Optimal
EFC00103-1,PLAN0076-1,MINE_1,EQ047-1,Excavator,2020-07-22,Good,Mendung,85,235.29,Optimal
EFC00104-1,PLAN0077-1,MINE_1,EQ047-1,Excavator,2020-08-01,Good,Mendung,78,227.97,Optimal
EFC00105-2,PLAN0029-2,MINE_2,EQ025-2,Excavator,2020-08-01,Good,Mendung,82,202.97,Optimal
EFC00106-2,PLAN0030-2,MINE_2,EQ028-2,Loader,2020-08-08,Fair,Mendung,82,15.01,Optimal
EFC00107-1,PLAN0078-1,MINE_1,EQ015-1,Excavator,2020-08-08,Good,Mendung,82,69.1,Optimal
EFC00108-2,PLAN0031-2,MINE_2,EQ001-2,Loader,2020-08-15,Fair,Berawan,74,65.38,Optimal
EFC00109-1,PLAN0079-1,MINE_1,EQ014-1,Excavator,2020-08-15,Good,Berawan,84,5.88,Optimal
EFC00110-2,PLAN0032-2,MINE_2,EQ040-2,Dump Truck,2020-08-22,Fair,Berawan,94,1503.24,Optimal
EFC00111-1,PLAN0080-1,MINE_1,EQ037-1,Excavator,2020-08-22,Good,Mendung,76,28.87,Optimal
EFC00112-2,PLAN0033-2,MINE_2,EQ004-2,Dump Truck,2020-09-01,Fair,Mendung,70,1085.96,Optimal
EFC00113-1,PLAN0081-1,MINE_1,EQ030-1,Excavator,2020-09-01,Fair,Mendung,98,220.31,Optimal
EFC00114-1,PLAN0082-1,MINE_1,EQ020-1,Excavator,2020-09-08,Good,Mendung,99,9.26,Optimal
EFC00115-2,PLAN0034-2,MINE_2,EQ019-2,Dump Truck,2020-09-08,Good,Mendung,77,804.68,Optimal
EFC00116-1,PLAN0083-1,MINE_1,EQ015-1,Excavator,2020-09-15,Good,Hujan lebat,74,53.74,Severe Weather Impact
EFC00117-2,PLAN0035-2,MINE_2,EQ019-2,Dump Truck,2020-09-15,Good,Mendung,91,1175.16,Optimal
EFC00118-2,PLAN0036-2,MINE_2,EQ018-2,Excavator,2020-09-22,Fair,Mendung,96,25.7,Optimal
EFC00119-1,PLAN0084-1,MINE_1,EQ047-1,Excavator,2020-09-22,Good,Mendung,79,306.07,Optimal
EFC00120-2,PLAN0037-2,MINE_2,EQ001-2,Loader,2020-10-01,Fair,Mendung,75,65.54,Optimal
EFC00121-1,PLAN0085-1,MINE_1,EQ016-1,Dump Truck,2020-10-01,Good,Mendung,93,1602.83,Optimal
EFC00122-1,PLAN0086-1,MINE_1,EQ030-1,Excavator,2020-10-08,Good,Mendung,94,148.93,Optimal
EFC00123-2,PLAN0038-2,MINE_2,EQ004-2,Dump Truck,2020-10-08,Fair,Mendung,85,1113.96,Optimal
EFC00124-2,PLAN0039-2,MINE_2,EQ049-2,Loader,2020-10-15,Fair,Mendung,81,36.53,Optimal
EFC00125-1,PLAN0087-1,MINE_1,EQ038-1,Loader,2020-10-15,Good,Mendung,84,73.39,Optimal
EFC00126-2,PLAN0040-2,MINE_2,EQ048-2,Loader,2020-10-22,Good,Mendung,84,35.84,Optimal
EFC00127-1,PLAN0088-1,MINE_1,EQ023-1,Excavator,2020-10-22,Fair,Mendung,80,40.33,Optimal
EFC00128-2,PLAN0041-2,MINE_2,EQ024-2,Loader,2020-11-01,Good,Mendung,86,57.84,Optimal
EFC00129-1,PLAN0089-1,MINE_1,EQ015-1,Excavator,2020-11-01,Fair,Mendung,97,52.82,Optimal
EFC00130-1,PLAN0090-1,MINE_1,EQ007-1,Dump Truck,2020-11-08,Good,Berawan,99,1831.18,Optimal
EFC00131-2,PLAN0042-2,MINE_2,EQ019-2,Dump Truck,2020-11-08,Good,Berawan,93,826.77,Optimal
EFC00132-1,PLAN0091-1,MINE_1,EQ023-1,Excavator,2020-11-15,Fair,Mendung,96,60.6,Optimal
EFC00133-2,PLAN0043-2,MINE_2,EQ024-2,Loader,2020-11-15,Good,Mendung,90,53.12,Optimal
EFC00134-1,PLAN0092-1,MINE_1,EQ041-1,Loader,2020-11-22,Fair,Mendung,83,30.29,Optimal
EFC00135-2,PLAN0044-2,MINE_2,EQ042-2,Dump Truck,2020-11-22,Good,Mendung,89,1380.18,Optimal
EFC00136-1,PLAN0093-1,MINE_1,EQ038-1,Loader,2020-12-01,Fair,Mendung,97,73.46,Optimal
EFC00137-2,PLAN0045-2,MINE_2,EQ029-2,Excavator,2020-12-01,Good,Mendung,72,44.53,Optimal
EFC00138-1,PLAN0094-1,MINE_1,EQ005-1,Dump Truck,2020-12-08,Fair,Mendung,85,1277.23,Optimal
EFC00139-2,PLAN0046-2,MINE_2,EQ019-2,Dump Truck,2020-12-08,Good,Mendung,90,1009.26,Optimal
EFC00140-2,PLAN0047-2,MINE_2,EQ049-2,Loader,2020-12-15,Good,Mendung,98,44.15,Optimal
EFC00141-1,PLAN0095-1,MINE_1,EQ043-1,Excavator,2020-12-15,Fair,Mendung,90,40.81,Optimal
EFC00142-1,PLAN0096-1,MINE_1,EQ033-1,Loader,2020-12-22,Fair,Mendung,89,22.33,Optimal
EFC00143-2,PLAN0048-2,MINE_2,EQ001-2,Loader,2020-12-22,Fair,Mendung,93,87.74,Optimal
EFC00144-2,PLAN0049-2,MINE_2,EQ001-2,Loader,2021-01-01,Good,Mendung,95,79.97,Optimal
EFC00145-3,PLAN0001-3,MINE_3,EQ046-3,Dump Truck,2021-01-01,Good,Mendung,75,1101.26,Optimal
EFC00146-1,PLAN0097-1,MINE_1,EQ017-1,Loader,2021-01-01,Good,Mendung,98,42.19,Optimal
EFC00147-3,PLAN0002-3,MINE_3,EQ039-3,Excavator,2021-01-08,Good,Mendung,84,50.11,Optimal
EFC00148-2,PLAN0050-2,MINE_2,EQ048-2,Loader,2021-01-08,Good,Mendung,92,40.45,Optimal
EFC00149-1,PLAN0098-1,MINE_1,EQ027-1,Excavator,2021-01-08,Fair,Mendung,87,314.71,Optimal
EFC00150-1,PLAN0099-1,MINE_1,EQ005-1,Dump Truck,2021-01-15,Good,Mendung,99,1758.51,Optimal
EFC00151-3,PLAN0003-3,MINE_3,EQ021-3,Excavator,2021-01-15,Good,Mendung,79,292.5,Optimal
EFC00152-2,PLAN0051-2,MINE_2,EQ025-2,Excavator,2021-01-15,Good,Mendung,73,205.3,Optimal
EFC00153-3,PLAN0004-3,MINE_3,EQ021-3,Excavator,2021-01-22,Good,Mendung,85,248.53,Optimal
EFC00154-2,PLAN0052-2,MINE_2,EQ018-2,Excavator,2021-01-22,Good,Mendung,85,20.28,Optimal
EFC00155-1,PLAN0100-1,MINE_1,EQ047-1,Excavator,2021-01-22,Good,Mendung,88,244.48,Optimal
EFC00156-2,PLAN0053-2,MINE_2,EQ001-2,Loader,2021-02-01,Fair,Mendung,77,70.76,Optimal
EFC00157-1,PLAN0101-1,MINE_1,EQ037-1,Excavator,2021-02-01,Good,Mendung,79,34.38,Optimal
EFC00158-3,PLAN0005-3,MINE_3,EQ021-3,Excavator,2021-02-01,Good,Mendung,93,323.25,Optimal
EFC00159-3,PLAN0006-3,MINE_3,EQ039-3,Excavator,2021-02-08,Fair,Mendung,92,50.43,Optimal
EFC00160-2,PLAN0054-2,MINE_2,EQ048-2,Loader,2021-02-08,Fair,Mendung,93,32.65,Optimal
EFC00161-1,PLAN0102-1,MINE_1,EQ017-1,Loader,2021-02-08,Good,Mendung,93,40.18,Optimal
EFC00162-1,PLAN0103-1,MINE_1,EQ022-1,Excavator,2021-02-15,Fair,Mendung,81,36.44,Optimal
EFC00163-3,PLAN0007-3,MINE_3,EQ039-3,Excavator,2021-02-15,Good,Mendung,79,44.86,Optimal
EFC00164-2,PLAN0055-2,MINE_2,EQ040-2,Dump Truck,2021-02-15,Good,Mendung,86,1082.1,Optimal
EFC00165-1,PLAN0104-1,MINE_1,EQ016-1,Dump Truck,2021-02-22,Good,Mendung,79,1342.88,Optimal
EFC00166-3,PLAN0008-3,MINE_3,EQ039-3,Excavator,2021-02-22,Fair,Berawan,85,60.99,Optimal
EFC00167-2,PLAN0056-2,MINE_2,EQ029-2,Excavator,2021-02-22,Good,Mendung,98,70.68,Optimal
EFC00168-1,PLAN0105-1,MINE_1,EQ033-1,Loader,2021-03-01,Fair,Mendung,92,30.14,Optimal
EFC00169-2,PLAN0057-2,MINE_2,EQ024-2,Loader,2021-03-01,Good,Mendung,96,58.92,Optimal
EFC00170-3,PLAN0009-3,MINE_3,EQ021-3,Excavator,2021-03-01,Good,Mendung,76,300.15,Optimal
EFC00171-3,PLAN0010-3,MINE_3,EQ039-3,Excavator,2021-03-08,Fair,Mendung,75,34.89,Optimal
EFC00172-1,PLAN0106-1,MINE_1,EQ023-1,Excavator,2021-03-08,Good,Mendung,97,67.21,Optimal
EFC00173-2,PLAN0058-2,MINE_2,EQ042-2,Dump Truck,2021-03-08,Fair,Mendung,96,1225.61,Optimal
EFC00174-2,PLAN0059-2,MINE_2,EQ029-2,Excavator,2021-03-15,Good,Mendung,99,66.38,Optimal
EFC00175-3,PLAN0011-3,MINE_3,EQ046-3,Dump Truck,2021-03-15,Good,Hujan ringan,78,1242.64,Moderate Weather Impact
EFC00176-1,PLAN0107-1,MINE_1,EQ023-1,Excavator,2021-03-15,Good,Mendung,76,48.19,Optimal
EFC00177-2,PLAN0060-2,MINE_2,EQ001-2,Loader,2021-03-22,Good,Mendung,81,109.27,Optimal
EFC00178-1,PLAN0108-1,MINE_1,EQ050-1,Dump Truck,2021-03-22,Good,Mendung,81,1153.27,Optimal
EFC00179-3,PLAN0012-3,MINE_3,EQ009-3,Loader,2021-03-22,Good,Hujan ringan,79,15.95,Moderate Weather Impact
EFC00180-2,PLAN0061-2,MINE_2,EQ001-2,Loader,2021-04-01,Good,Mendung,93,124.0,Optimal
EFC00181-3,PLAN0013-3,MINE_3,EQ031-3,Loader,2021-04-01,Fair,Mendung,93,46.61,Optimal
EFC00182-1,PLAN0109-1,MINE_1,EQ041-1,Loader,2021-04-01,Fair,Mendung,95,32.96,Optimal
EFC00183-1,PLAN0110-1,MINE_1,EQ011-1,Loader,2021-04-08,Good,Mendung,80,27.59,Optimal
EFC00184-3,PLAN0014-3,MINE_3,EQ031-3,Loader,2021-04-08,Good,Mendung,77,31.94,Optimal
EFC00185-2,PLAN0062-2,MINE_2,EQ048-2,Loader,2021-04-08,Good,Mendung,86,32.62,Optimal
EFC00186-3,PLAN0015-3,MINE_3,EQ009-3,Loader,2021-04-15,Good,Mendung,71,19.83,Optimal
EFC00187-2,PLAN0063-2,MINE_2,EQ040-2,Dump Truck,2021-04-15,Good,Mendung,87,1314.09,Optimal
EFC00188-1,PLAN0111-1,MINE_1,EQ011-1,Loader,2021-04-15,Good,Berawan,90,23.22,Optimal
EFC00189-3,PLAN0016-3,MINE_3,EQ009-3,Loader,2021-04-22,Fair,Mendung,82,13.6,Optimal
EFC00190-2,PLAN0064-2,MINE_2,EQ001-2,Loader,2021-04-22,Good,Mendung,88,106.88,Optimal
EFC00191-1,PLAN0112-1,MINE_1,EQ027-1,Excavator,2021-04-22,Good,Mendung,96,335.93,Optimal
EFC00192-1,PLAN0113-1,MINE_1,EQ047-1,Excavator,2021-05-01,Good,Mendung,81,250.53,Optimal
EFC00193-2,PLAN0065-2,MINE_2,EQ019-2,Dump Truck,2021-05-01,Fair,Mendung,81,639.3,Optimal
EFC00194-3,PLAN0017-3,MINE_3,EQ046-3,Dump Truck,2021-05-01,Good,Mendung,74,842.71,Optimal
EFC00195-3,PLAN0018-3,MINE_3,EQ021-3,Excavator,2021-05-08,Fair,Mendung,90,327.31,Optimal
EFC00196-2,PLAN0066-2,MINE_2,EQ028-2,Loader,2021-05-08,Fair,Mendung,90,21.78,Optimal
EFC00197-1,PLAN0114-1,MINE_1,EQ007-1,Dump Truck,2021-05-08,Good,Mendung,83,1625.21,Optimal
EFC00198-2,PLAN0067-2,MINE_2,EQ004-2,Dump Truck,2021-05-15,Good,Mendung,74,1511.64,Optimal
EFC00199-3,PLAN0019-3,MINE_3,EQ046-3,Dump Truck,2021-05-15,Good,Mendung,71,1073.1,Optimal
EFC00200-1,PLAN0115-1,MINE_1,EQ030-1,Excavator,2021-05-15,Fair,Mendung,70,99.59,Optimal
EFC00201-2,PLAN0068-2,MINE_2,EQ048-2,Loader,2021-05-22,Fair,Mendung,79,31.85,Optimal
EFC00202-3,PLAN0020-3,MINE_3,EQ039-3,Excavator,2021-05-22,Good,Mendung,84,43.2,Optimal
EFC00203-1,PLAN0116-1,MINE_1,EQ017-1,Loader,2021-05-22,Good,Mendung,76,35.07,Optimal
EFC00204-1,PLAN0117-1,MINE_1,EQ047-1,Excavator,2021-06-01,Good,Mendung,85,266.36,Optimal
EFC00205-2,PLAN0069-2,MINE_2,EQ049-2,Loader,2021-06-01,Fair,Mendung,87,30.27,Optimal
EFC00206-3,PLAN0021-3,MINE_3,EQ046-3,Dump Truck,2021-06-01,Good,Berawan,76,863.44,Optimal
EFC00207-1,PLAN0118-1,MINE_1,EQ047-1,Excavator,2021-06-08,Good,Mendung,88,338.02,Optimal
EFC00208-3,PLAN0022-3,MINE_3,EQ021-3,Excavator,2021-06-08,Fair,Mendung,83,246.87,Optimal
EFC00209-2,PLAN0070-2,MINE_2,EQ018-2,Excavator,2021-06-08,Good,Berawan,73,27.47,Optimal
EFC00210-1,PLAN0119-1,MINE_1,EQ017-1,Loader,2021-06-15,Good,Mendung,79,36.93,Optimal
EFC00211-2,PLAN0071-2,MINE_2,EQ018-2,Excavator,2021-06-15,Good,Mendung,81,28.54,Optimal
EFC00212-3,PLAN0023-3,MINE_3,EQ021-3,Excavator,2021-06-15,Good,Mendung,79,219.29,Optimal
EFC00213-1,PLAN0120-1,MINE_1,EQ015-1,Excavator,2021-06-22,Good,Berawan,84,80.79,Optimal
EFC00214-3,PLAN0024-3,MINE_3,EQ009-3,Loader,2021-06-22,Good,Mendung,79,20.52,Optimal
EFC00215-2,PLAN0072-2,MINE_2,EQ019-2,Dump Truck,2021-06-22,Good,Mendung,94,1199.49,Optimal
EFC00216-1,PLAN0121-1,MINE_1,EQ043-1,Excavator,2021-07-01,Good,Mendung,99,39.45,Optimal
EFC00217-3,PLAN0025-3,MINE_3,EQ031-3,Loader,2021-07-01,Fair,Berawan,84,52.69,Optimal
EFC00218-2,PLAN0073-2,MINE_2,EQ019-2,Dump Truck,2021-07-01,Fair,Mendung,87,664.77,Optimal
EFC00219-1,PLAN0122-1,MINE_1,EQ011-1,Loader,2021-07-08,Good,Mendung,97,32.66,Optimal
EFC00220-2,PLAN0074-2,MINE_2,EQ019-2,Dump Truck,2021-07-08,Good,Mendung,75,740.08,Optimal
EFC00221-3,PLAN0026-3,MINE_3,EQ009-3,Loader,2021-07-08,Fair,Mendung,87,19.44,Optimal
EFC00222-2,PLAN0075-2,MINE_2,EQ048-2,Loader,2021-07-15,Good,Berawan,91,43.22,Optimal
